Komentar,text_clean,Label_Teks,Label_Angka
Aaaaa belum siapp😭,a belum siapp,Negatif,-1
AAAAAAAAGGGHHHH,agh,Negatif,-1
abottttt pak abooootttttttt,berat berat,Negatif,-1
"abrakadabra @🫧vanvanilla✨: Eh bukan masalah ini ""cuma"" 5rb... ini kenaikanya 43%. Yg dimana pengeluaran biaya masyarakat utk transum juga naik 43% hampir setengahnya! Kalo naik transum sekali doang mah gaberasa 5rb. Kalo yg tiap hari? Senin-Jumat PP Yg awalnya cuma 35rb Perminggu jadi naik 50rb. Selisihnya 15rb, perminggu. JANGAN LIAT 5 RIBUANNYA, LIAT KENAIKAN ITUNGAN PERSEN HARGANYA! Gausah ngomongin org yg tiap hari beli kopi bisa, KARENA GAK SEMUA ORG MINUM KOPI TIAP HARI! Kenaikan harusnya bertahap jangan langsng 43%. Kasiannn rakyat yg berganthng transum. Mana semua naik tapi gaji kaga naik. Empati dan observasi dikit jangan generalisir sementang CUMA 5rb doang pretttt 10-27 0 Reply",abrakadabra vanvanilla eh bukan masalah cuma rb kenaikanya mana keluar biaya masyarakat transportasi umum naik hampir tengah kalau naik transportasi umum sekali doang gaberasa rb kalau tiap hari senin jumat pulang pergi awal cuma rb minggu jadi naik rb selisih rb minggu jangan lihat ribu lihat naik itungan persen harga gausah bicara org tiap hari beli kopi karena semua org minum kopi tiap hari naik harus tahap jangan langsng kasi rakyat berganthng transportasi umum mana semua naik tapi gaji tidak naik empati observasi sedikit jangan generalisir sementang cuma rb doang pret,Negatif,-1
adain jeklingko di setiabudi woii 😭,adakan mikrotrans setiabudi woii,Negatif,-1
ADAIN PINANG RANTI - SUMMARECON BEKASI!!!!,adakan pinang ranti summarecon bekas,Negatif,-1
"adeenatoo oke lah angkutan umum naik karna inflasi, tapi umr umpnya juga dong... 10-29 0 Reply",adeenatoo oke lah angkut umum naik inflasi tapi umr umpnya dong,Negatif,-1
Adeknya Sehun naikan gaji kamiii wahai para bosssss 😭 10-27 1 Reply,adeknya hun naik gaji wahai bos,Negatif,-1
"aduh, bogor aja angkot jauh deket setara tarif sama tj yg mau naik, smsm 5k 😂",aduh bogor mikrotrans jauh deket tara tarif sama transjakarta mau naik smsm k,Negatif,-1
aduh jangan dongggggg,aduh jangan,Negatif,-1
aduh udh lama nunggu nya naik pulak hemm,aduh lama nunggu naik pulak hemm,Negatif,-1
Aduuuhhh pak pak,aduh pak,Negatif,-1
bisa aee pak gubernur ini...mknya pak uang jgn diendepin di Bank..DKI Jakarta 14T loch di Bank...jgn Bebani rakyat lg pak...,aee gubernur mknya uang diendepin bank dki jakarta loch bank beban rakyat lg,Negatif,-1
"Agra Pramana lestari pelayanannya jg hrus d perbaiki,karyawannya PD songong2,klau d tanya pad judes 11-2 0 Reply",agra pramana lestari layan jg hrus baik karyawannya pd sombong klau tanya pad judes,Negatif,-1
agus siswanto Gak transparan atau loenya yang kudet... 10-26 18 Reply,agus siswanto transparan loenya kurang update,Negatif,-1
ah masa tu segitu tarifnya harus duduk pak sampe tujuan... perbaiki dl pak fasilitasnya sama mesin tap in tap outnya,ah masa tu segitu tarif duduk sampe tuju baik dulu fasilitas sama mesin tempel in tempel outnya,Negatif,-1
ah mending naek ojol kalo gitu,ah mending naik ojol kalau gitu,Negatif,-1
ah ada ada aja satu belum selesai udah ada lg yg naik,ah satu belum selesai udah ada lg naik,Negatif,-1
ah tetep aja ngerugiin gw,ah tetep ngerugiin,Negatif,-1
ai lagi.,ai,Negatif,-1
yah ai bete gwe,ai bete gwe,Negatif,-1
"Ai 🐬💙 mestinya kek kereta commuter line sih, tarifnya variasi nyesuain sm jarak 10-26 1 Reply",ai mesti kereta commuter line tarif variasi nyesuain sm jarak,Negatif,-1
ai terosssss,ai ros,Negatif,-1
@grzm @syifaajaaa aihh😭,aihh,Negatif,-1
aisahamar dah kita motoran lagi aja 11-1 4 Reply,aisahamar dah motor saja,Negatif,-1
5000 ajah berat apalagi 7000 naik kereta ajah,ajah berat naik kereta ajah,Negatif,-1
dia ajah gak pernah naik TJ secara rutin 💀,ajah pernah naik transjakarta rutin,Negatif,-1
"pelajar grts,keponakan saya berbayar sekolah tiap hr naek tj 😆",ajar grts keponakan bayar sekolah tiap hr naik transjakarta,Negatif,-1
pelajar dan mahasiswa bagaimana caranya bisa gratis?,ajar mahasiswa bagaimana cara gratis,Negatif,-1
"pelajar dan mahasiswa lah.. masa ortu nya udh kena anak nya juga, wah sehari buat transpot 1keluarga aja udh 50+ dong",ajar mahasiswa lah masa orang tua sudah kena anak juga wah hari buat transpot keluarga sudah,Negatif,-1
belajar sama Anis Baswedan pak,ajar sama anis baswedan,Negatif,-1
ak aj tarif 3.500 sering kepotong nya 2-3x lipat,ak tarif sering potong x lipat,Negatif,-1
ini akal akalan biar bikin kartu lagi?😅,akal akal bikin kartu,Negatif,-1
akibat purbaya ...,akibat purbaya,Negatif,-1
