Komentar,Sumber_Video
siap siap juga kita beralih ke kendaraan pribadi 😂,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
perasaan waktu pilgub blgnya bakal di gratiskan minimal transjakarta wkwk,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"AKAN SEPI PENUMPANG KLO JADI TARIF NYA NAIK,..",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
ai lagi.,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"UMR naik, makanya harga nya ikut naik, mungkin gitu alasannya wkwk",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"Naik boleh, asal pas top up jangan ada potongan saldo, dan dikartu jangan ada minimal saldo ngendap, jadi kartu bisa di pake sampe saldo nya 0, dan lagi TJ harus ada 24 jam",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
harusnya untuk pelajar jangan dinaekin deh harganya,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
Cuma 5k doang heboh! Padahal sekali ngopi 500k 😩🤣,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
peduli apahh gw tinggal naik angkot jaklingko gratis wee😜😂,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
ya allah jangan naik kek gaji gw kecil bgt 😭😭😭😭,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"harga naik, tapi fasilitas kagaa",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
yaudah siap2 jalanan penuh dgn kendaraan pribadi 😂,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
tapi katanya ASN gratis ya?,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"untuk umum 3.500 kah? murah si, transjatim sini 5rb untuk umum",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
